fight_id,f_1,f_2,winner,weight_class,result,finish_round,finish_time,knockdownsA,total_strikes_attA,total_strikes_succA,sig_strikes_attA,sig_strikes_succA,takedown_attA,takedown_succA,submission_attA,reversalsA,ctrl_timeA,wins decA,wins subA,wins koA,knockdownsB,total_strikes_attB,total_strikes_succB,sig_strikes_attB,sig_strikes_succB,takedown_attB,takedown_succB,submission_attB,reversalsB,ctrl_timeB,wins decB,wins subB,wins koB
3232,621.0,767.0,0,0,0,2,900,0.009259259259259259,1.4361111111111111,0.7012962962962963,1.377962962962963,0.6437037037037037,0.024074074074074074,0.009814814814814814,0.0,0.019074074074074073,0.8720370370370369,0,0,1,0.0005555555555555556,0.19722222222222222,0.09388888888888888,0.16666666666666669,0.06444444444444444,0.002777777777777778,0.0016666666666666666,0.0022222222222222222,0.0011111111111111111,0.10611111111111111,2,0,0
3229,2110.0,1183.0,0,4,2,1,374,0.0036496350364963502,0.21192619626926196,0.12361719383617194,0.20470397404703974,0.11695052716950527,0.0,0.0,0.0,0.0,0.040145985401459854,0,0,1,0.00625,0.25472222222222224,0.0925,0.2525,0.09027777777777778,0.0016666666666666668,0.0005555555555555556,0.0,0.0,0.021805555555555557,1,0,1
3228,2774.0,3544.0,1,5,1,2,831,0.0,0.19592789598108745,0.1224113475177305,0.09772458628841607,0.031193853427895983,0.004326241134751773,0.004326241134751773,0.0,0.0013297872340425532,0.6609397163120567,0,0,0,0.0,0.065,0.026111111111111113,0.055,0.017222222222222222,0.0044444444444444444,0.0033333333333333335,0.0011111111111111111,0.0,0.30444444444444446,1,0,0
3220,2268.0,649.0,0,2,0,2,900,0.0,0.3677777777777778,0.33,0.20833333333333331,0.17055555555555557,0.06277777777777778,0.015555555555555555,0.005555555555555556,0.0,1.3322222222222222,0,1,0,0.0,0.2963888888888889,0.12305555555555556,0.21444444444444444,0.04842592592592593,0.006296296296296296,0.0028240740740740743,0.0005555555555555556,0.0022685185185185187,0.519537037037037,1,0,0
3216,1298.0,466.0,1,3,2,1,180,0.002136752136752137,0.1652991452991453,0.06393162393162394,0.14923076923076922,0.05641025641025642,0.010384615384615384,0.0032478632478632483,0.0,0.0,0.16880341880341881,1,0,1,0.00819672131147541,0.47012510785159617,0.31719154443485764,0.47012510785159617,0.31719154443485764,0.013157894736842105,0.013157894736842105,0.0,0.0,0.4422993960310613,0,0,2
3214,3894.0,2130.0,1,2,0,2,900,0.0,0.10143956316703898,0.05606850335070737,0.09947877885331348,0.05410771903698188,0.0,0.0,0.00392156862745098,0.0,0.07647058823529412,0,1,0,0.0,0.15177148846960167,0.079958071278826,0.11973794549266248,0.049035639412997906,0.015733752620545074,0.0022222222222222222,0.0011111111111111111,0.0,0.12313417190775681,1,0,0
3208,2861.0,1860.0,0,5,2,1,600,0.0,0.16955322455322455,0.07292152292152292,0.1423815073815074,0.04574980574980575,0.0034965034965034965,0.0017482517482517483,0.0017482517482517483,0.0017482517482517483,0.22613053613053613,0,1,0,0.0,0.08462962962962962,0.0374074074074074,0.08185185185185184,0.03518518518518518,0.0038888888888888888,0.0,0.0,0.0,0.04833333333333333,0,0,0
3205,3502.0,3568.0,0,0,0,2,900,0.0005555555555555556,0.17277777777777778,0.10388888888888889,0.13222222222222224,0.06777777777777777,0.005,0.0033333333333333335,0.0005555555555555556,0.0,0.32722222222222225,2,0,0,0.0,0.13277777777777777,0.07055555555555557,0.11555555555555556,0.05333333333333333,0.0011111111111111111,0.0005555555555555556,0.0,0.0,0.0061111111111111106,1,0,0
3204,3200.0,3065.0,1,3,1,0,54,0.0,0.1613888888888889,0.08513888888888889,0.12412698412698411,0.04954365079365079,0.0022222222222222222,0.0,0.004464285714285714,0.0,0.27801587301587305,0,1,0,0.0011111111111111111,0.21555555555555556,0.15055555555555555,0.12777777777777777,0.07611111111111112,0.0011111111111111111,0.0011111111111111111,0.0,0.0,0.23388888888888887,1,0,0
3198,1658.0,937.0,1,7,1,0,114,0.004201680672268907,0.2383685181389629,0.16437794630047142,0.209776593564255,0.13578602172576348,0.0,0.0,0.0,0.0,0.11477761836441894,0,0,2,0.005059110606251841,0.27154066220707646,0.16685598889309605,0.24770709747991082,0.14302242416593042,0.0,0.0,0.0,0.0,0.1914994320333207,0,0,2
3197,1189.0,1751.0,0,3,2,0,158,0.0044444444444444444,0.2140670859538784,0.11161425576519916,0.20073375262054505,0.10050314465408805,0.0,0.0,0.0,0.0,0.10222222222222223,0,0,1,0.0018050541516245488,0.255098486287922,0.12407372221166635,0.23974760909493953,0.1087228450186839,0.0,0.0,0.00619101906390525,0.0,0.13606783203496103,0,2,0
